,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Aug 12, 2016",2183.74,2186.28,2179.42,2184.05,2184.05,3000660000.0
1,"Aug 11, 2016",2177.97,2188.45,2177.97,2185.79,2185.79,3423160000.0
2,"Aug 10, 2016",2182.81,2183.41,2172.0,2175.49,2175.49,3254950000.0
3,"Aug 09, 2016",2182.24,2187.66,2178.61,2181.74,2181.74,3334300000.0
4,"Aug 08, 2016",2183.76,2185.44,2177.85,2180.89,2180.89,3327550000.0
5,"Aug 05, 2016",2168.79,2182.87,2168.79,2182.87,2182.87,3663070000.0
6,"Aug 04, 2016",2163.51,2168.19,2159.07,2164.25,2164.25,3709200000.0
7,"Aug 03, 2016",2156.81,2163.79,2152.56,2163.79,2163.79,3786530000.0
8,"Aug 02, 2016",2169.94,2170.2,2147.58,2157.03,2157.03,3848750000.0
9,"Aug 01, 2016",2173.15,2178.29,2166.21,2170.84,2170.84,3505990000.0
10,"Jul 29, 2016",2168.83,2177.09,2163.49,2173.6,2173.6,4038840000.0
11,"Jul 28, 2016",2166.05,2172.85,2159.74,2170.06,2170.06,3664240000.0
12,"Jul 27, 2016",2169.81,2174.98,2159.07,2166.58,2166.58,3995500000.0
13,"Jul 26, 2016",2168.97,2173.54,2160.18,2169.18,2169.18,3442350000.0
14,"Jul 25, 2016",2173.71,2173.71,2161.95,2168.48,2168.48,3057240000.0
15,"Jul 22, 2016",2166.47,2175.11,2163.24,2175.03,2175.03,3023280000.0
16,"Jul 21, 2016",2172.91,2174.56,2159.75,2165.17,2165.17,3438900000.0
17,"Jul 20, 2016",2166.1,2175.63,2164.89,2173.02,2173.02,3211860000.0
18,"Jul 19, 2016",2163.79,2164.63,2159.01,2163.78,2163.78,2968340000.0
19,"Jul 18, 2016",2162.04,2168.35,2159.63,2166.89,2166.89,3009310000.0
20,"Jul 15, 2016",2165.13,2169.05,2155.79,2161.74,2161.74,3122600000.0
21,"Jul 14, 2016",2157.88,2168.99,2157.88,2163.75,2163.75,3465610000.0
22,"Jul 13, 2016",2153.81,2156.45,2146.21,2152.43,2152.43,3502320000.0
23,"Jul 12, 2016",2139.5,2155.4,2139.5,2152.14,2152.14,4097820000.0
24,"Jul 11, 2016",2131.72,2143.16,2131.72,2137.16,2137.16,3253340000.0
25,"Jul 08, 2016",2106.97,2131.71,2106.97,2129.9,2129.9,3607500000.0
26,"Jul 07, 2016",2100.42,2109.08,2089.39,2097.9,2097.9,3604550000.0
27,"Jul 06, 2016",2084.43,2100.72,2074.02,2099.73,2099.73,3909380000.0
28,"Jul 05, 2016",2095.05,2095.05,2080.86,2088.55,2088.55,3658380000.0
29,"Jul 01, 2016",2099.34,2108.71,2097.9,2102.95,2102.95,3458890000.0
30,"Jun 30, 2016",2073.17,2098.94,2070.0,2098.86,2098.86,4622820000.0
31,"Jun 29, 2016",2042.69,2073.13,2042.69,2070.77,2070.77,4241740000.0
32,"Jun 28, 2016",2006.67,2036.09,2006.67,2036.09,2036.09,4385810000.0
33,"Jun 27, 2016",2031.45,2031.45,1991.68,2000.54,2000.54,5431220000.0
34,"Jun 24, 2016",2103.81,2103.81,2032.57,2037.41,2037.41,7597450000.0
35,"Jun 23, 2016",2092.8,2113.32,2092.8,2113.32,2113.32,3297940000.0
36,"Jun 22, 2016",2089.75,2099.71,2084.36,2085.45,2085.45,3168160000.0
37,"Jun 21, 2016",2085.19,2093.66,2083.02,2088.9,2088.9,3232880000.0
38,"Jun 20, 2016",2075.58,2100.66,2075.58,2083.25,2083.25,3467440000.0
39,"Jun 17, 2016",2078.2,2078.2,2062.84,2071.22,2071.22,4952630000.0
40,"Jun 16, 2016",2066.36,2079.62,2050.37,2077.99,2077.99,3628280000.0
41,"Jun 15, 2016",2077.6,2085.65,2069.8,2071.5,2071.5,3544720000.0
42,"Jun 14, 2016",2076.65,2081.3,2064.1,2075.32,2075.32,3759770000.0
43,"Jun 13, 2016",2091.75,2098.12,2078.46,2079.06,2079.06,3392030000.0
44,"Jun 10, 2016",2109.57,2109.57,2089.96,2096.07,2096.07,3515010000.0
45,"Jun 09, 2016",2115.65,2117.64,2107.73,2115.48,2115.48,3290320000.0
46,"Jun 08, 2016",2112.71,2120.55,2112.71,2119.12,2119.12,3562060000.0
47,"Jun 07, 2016",2110.18,2119.22,2110.18,2112.13,2112.13,3534730000.0
48,"Jun 06, 2016",2100.83,2113.36,2100.83,2109.41,2109.41,3442020000.0
49,"Jun 03, 2016",2104.07,2104.07,2085.36,2099.13,2099.13,3627780000.0
50,"Jun 02, 2016",2097.71,2105.26,2088.59,2105.26,2105.26,3632720000.0
51,"Jun 01, 2016",2093.94,2100.97,2085.1,2099.33,2099.33,3525170000.0
52,"May 31, 2016",2100.13,2103.48,2088.66,2096.95,2096.95,4514410000.0
53,"May 27, 2016",2090.06,2099.06,2090.06,2099.06,2099.06,3079150000.0
54,"May 26, 2016",2091.44,2094.3,2087.08,2090.1,2090.1,3230990000.0
55,"May 25, 2016",2078.93,2094.73,2078.93,2090.54,2090.54,3859160000.0
56,"May 24, 2016",2052.65,2079.67,2052.65,2076.06,2076.06,3627340000.0
57,"May 23, 2016",2052.23,2055.58,2047.26,2048.04,2048.04,3055480000.0
58,"May 20, 2016",2041.88,2058.35,2041.88,2052.32,2052.32,3507650000.0
59,"May 19, 2016",2044.21,2044.21,2025.91,2040.04,2040.04,3846770000.0
60,"May 18, 2016",2044.38,2060.61,2034.49,2047.63,2047.63,4101320000.0
61,"May 17, 2016",2065.04,2065.69,2040.82,2047.21,2047.21,4108960000.0
62,"May 16, 2016",2046.53,2071.88,2046.53,2066.66,2066.66,3501360000.0
63,"May 13, 2016",2062.5,2066.79,2043.13,2046.61,2046.61,3579880000.0
64,"May 12, 2016",2067.17,2073.99,2053.13,2064.11,2064.11,3782390000.0
65,"May 11, 2016",2083.29,2083.29,2064.46,2064.46,2064.46,3821980000.0
66,"May 10, 2016",2062.63,2084.87,2062.63,2084.39,2084.39,3600200000.0
67,"May 09, 2016",2057.55,2064.15,2054.31,2058.69,2058.69,3788620000.0
68,"May 06, 2016",2047.77,2057.72,2039.45,2057.14,2057.14,3796350000.0
69,"May 05, 2016",2052.95,2060.23,2045.77,2050.63,2050.63,4008530000.0
70,"May 04, 2016",2060.3,2060.3,2045.55,2051.12,2051.12,4058560000.0
71,"May 03, 2016",2077.18,2077.18,2054.89,2063.37,2063.37,4173390000.0
72,"May 02, 2016",2067.17,2083.42,2066.11,2081.43,2081.43,3841110000.0
73,"Apr 29, 2016",2071.82,2073.85,2052.28,2065.3,2065.3,4704720000.0
74,"Apr 28, 2016",2090.93,2099.3,2071.62,2075.81,2075.81,4309840000.0
75,"Apr 27, 2016",2092.33,2099.89,2082.31,2095.15,2095.15,4100110000.0
76,"Apr 26, 2016",2089.84,2096.87,2085.8,2091.7,2091.7,3557190000.0
77,"Apr 25, 2016",2089.37,2089.37,2077.52,2087.79,2087.79,3319740000.0
78,"Apr 22, 2016",2091.49,2094.32,2081.2,2091.58,2091.58,3790580000.0
79,"Apr 21, 2016",2102.09,2103.78,2088.52,2091.48,2091.48,4175290000.0
80,"Apr 20, 2016",2101.52,2111.05,2096.32,2102.4,2102.4,4184880000.0
81,"Apr 19, 2016",2096.05,2104.05,2091.68,2100.8,2100.8,3896830000.0
82,"Apr 18, 2016",2078.83,2094.66,2073.65,2094.34,2094.34,3316880000.0
83,"Apr 15, 2016",2083.1,2083.22,2076.31,2080.73,2080.73,3701450000.0
84,"Apr 14, 2016",2082.89,2087.84,2078.13,2082.78,2082.78,3765870000.0
85,"Apr 13, 2016",2065.92,2083.18,2065.92,2082.42,2082.42,4191830000.0
86,"Apr 12, 2016",2043.72,2065.05,2039.74,2061.72,2061.72,4239740000.0
87,"Apr 11, 2016",2050.23,2062.93,2041.88,2041.99,2041.99,3567840000.0
88,"Apr 08, 2016",2045.54,2060.63,2041.69,2047.6,2047.6,3359530000.0
89,"Apr 07, 2016",2063.01,2063.01,2033.8,2041.91,2041.91,3801250000.0
90,"Apr 06, 2016",2045.56,2067.33,2043.09,2066.66,2066.66,3750800000.0
91,"Apr 05, 2016",2062.5,2062.5,2042.56,2045.17,2045.17,4154920000.0
92,"Apr 04, 2016",2073.19,2074.02,2062.57,2066.13,2066.13,3485710000.0
93,"Apr 01, 2016",2056.62,2075.07,2043.98,2072.78,2072.78,3749990000.0
94,"Mar 31, 2016",2063.77,2067.92,2057.46,2059.74,2059.74,3715280000.0
95,"Mar 30, 2016",2058.27,2072.21,2058.27,2063.95,2063.95,3590310000.0
96,"Mar 29, 2016",2035.75,2055.91,2028.31,2055.01,2055.01,3822330000.0
97,"Mar 28, 2016",2037.89,2042.67,2031.96,2037.05,2037.05,2809090000.0
98,"Mar 24, 2016",2032.48,2036.04,2022.49,2035.94,2035.94,3407720000.0
99,"Mar 23, 2016",2048.55,2048.55,2034.86,2036.71,2036.71,3639510000.0
100,"Mar 22, 2016",2048.64,2056.6,2040.57,2049.8,2049.8,3418460000.0
101,"Mar 21, 2016",2047.88,2053.91,2043.14,2051.6,2051.6,3376600000.0
102,"Mar 18, 2016",2041.16,2052.36,2041.16,2049.58,2049.58,6503140000.0
103,"Mar 17, 2016",2026.9,2046.24,2022.16,2040.59,2040.59,4530480000.0
104,"Mar 16, 2016",2014.24,2032.02,2010.04,2027.22,2027.22,4057020000.0
105,"Mar 15, 2016",2015.27,2015.94,2005.23,2015.93,2015.93,3560280000.0
106,"Mar 14, 2016",2019.27,2024.57,2012.05,2019.64,2019.64,3487850000.0
107,"Mar 11, 2016",1994.71,2022.37,1994.71,2022.19,2022.19,4078620000.0
108,"Mar 10, 2016",1990.97,2005.08,1969.25,1989.57,1989.57,4376790000.0
109,"Mar 09, 2016",1981.44,1992.69,1979.84,1989.26,1989.26,4038120000.0
110,"Mar 08, 2016",1996.88,1996.88,1977.43,1979.26,1979.26,4641650000.0
111,"Mar 07, 2016",1996.11,2006.12,1989.38,2001.76,2001.76,4968180000.0
112,"Mar 04, 2016",1994.01,2009.13,1986.77,1999.99,1999.99,6049930000.0
113,"Mar 03, 2016",1985.6,1993.69,1977.37,1993.4,1993.4,5081700000.0
114,"Mar 02, 2016",1976.6,1986.51,1968.8,1986.45,1986.45,4666610000.0
115,"Mar 01, 2016",1937.09,1978.35,1937.09,1978.35,1978.35,4819750000.0
116,"Feb 29, 2016",1947.13,1958.27,1931.81,1932.23,1932.23,4588180000.0
117,"Feb 26, 2016",1954.95,1962.96,1945.78,1948.05,1948.05,4348510000.0
118,"Feb 25, 2016",1931.87,1951.83,1925.41,1951.7,1951.7,4118210000.0
119,"Feb 24, 2016",1917.56,1932.08,1891.0,1929.8,1929.8,4317250000.0
120,"Feb 23, 2016",1942.38,1942.38,1919.44,1921.27,1921.27,3890650000.0
121,"Feb 22, 2016",1924.44,1946.7,1924.44,1945.5,1945.5,4054710000.0
122,"Feb 19, 2016",1916.74,1918.78,1902.17,1917.78,1917.78,4142850000.0
123,"Feb 18, 2016",1927.57,1930.0,1915.09,1917.83,1917.83,4436490000.0
124,"Feb 17, 2016",1898.8,1930.68,1898.8,1926.82,1926.82,5011540000.0
125,"Feb 16, 2016",1871.44,1895.77,1871.44,1895.58,1895.58,4570670000.0
126,"Feb 12, 2016",1833.4,1864.78,1833.4,1864.78,1864.78,4696920000.0
127,"Feb 11, 2016",1847.0,1847.0,1810.1,1829.08,1829.08,5500800000.0
128,"Feb 10, 2016",1857.1,1881.6,1850.32,1851.86,1851.86,4471170000.0
129,"Feb 09, 2016",1848.46,1868.25,1834.94,1852.21,1852.21,5183220000.0
130,"Feb 08, 2016",1873.25,1873.25,1828.46,1853.44,1853.44,5636460000.0
131,"Feb 05, 2016",1913.07,1913.07,1872.65,1880.05,1880.05,4929940000.0
132,"Feb 04, 2016",1911.67,1927.35,1900.52,1915.45,1915.45,5193320000.0
133,"Feb 03, 2016",1907.07,1918.01,1872.23,1912.53,1912.53,5172950000.0
134,"Feb 02, 2016",1935.26,1935.26,1897.29,1903.03,1903.03,4463190000.0
135,"Feb 01, 2016",1936.94,1947.2,1920.3,1939.38,1939.38,4322530000.0
136,"Jan 29, 2016",1894.0,1940.24,1894.0,1940.24,1940.24,5497570000.0
137,"Jan 28, 2016",1885.22,1902.96,1873.65,1893.36,1893.36,4693010000.0
138,"Jan 27, 2016",1902.52,1916.99,1872.7,1882.95,1882.95,4754040000.0
139,"Jan 26, 2016",1878.79,1906.73,1878.79,1903.63,1903.63,4357940000.0
140,"Jan 25, 2016",1906.28,1906.28,1875.97,1877.08,1877.08,4401380000.0
141,"Jan 22, 2016",1877.4,1908.85,1877.4,1906.9,1906.9,4901760000.0
142,"Jan 21, 2016",1861.46,1889.85,1848.98,1868.99,1868.99,5078810000.0
143,"Jan 20, 2016",1876.18,1876.18,1812.29,1859.33,1859.33,6416070000.0
144,"Jan 19, 2016",1888.66,1901.44,1864.6,1881.33,1881.33,4928350000.0
145,"Jan 15, 2016",1916.68,1916.68,1857.83,1880.33,1880.33,5468460000.0
146,"Jan 14, 2016",1891.68,1934.47,1878.93,1921.84,1921.84,5241110000.0
147,"Jan 13, 2016",1940.34,1950.33,1886.41,1890.28,1890.28,5087030000.0
148,"Jan 12, 2016",1927.83,1947.38,1914.35,1938.68,1938.68,4887260000.0
149,"Jan 11, 2016",1926.12,1935.65,1901.1,1923.67,1923.67,4607290000.0
150,"Jan 08, 2016",1945.97,1960.4,1918.46,1922.03,1922.03,4664940000.0
151,"Jan 07, 2016",1985.32,1985.32,1938.83,1943.09,1943.09,5076590000.0
152,"Jan 06, 2016",2011.71,2011.71,1979.05,1990.26,1990.26,4336660000.0
153,"Jan 05, 2016",2013.78,2021.94,2004.17,2016.71,2016.71,3706620000.0
154,"Jan 04, 2016",2038.2,2038.2,1989.68,2012.66,2012.66,4304880000.0
155,"Dec 31, 2015",2060.59,2062.54,2043.62,2043.94,2043.94,2655330000.0
156,"Dec 30, 2015",2077.34,2077.34,2061.97,2063.36,2063.36,2367430000.0
157,"Dec 29, 2015",2060.54,2081.56,2060.54,2078.36,2078.36,2542000000.0
158,"Dec 28, 2015",2057.77,2057.77,2044.2,2056.5,2056.5,2492510000.0
159,"Dec 24, 2015",2063.52,2067.36,2058.73,2060.99,2060.99,1411860000.0
160,"Dec 23, 2015",2042.2,2064.73,2042.2,2064.29,2064.29,3484090000.0
161,"Dec 22, 2015",2023.15,2042.74,2020.49,2038.97,2038.97,3520860000.0
162,"Dec 21, 2015",2010.27,2022.9,2005.93,2021.15,2021.15,3760280000.0
163,"Dec 18, 2015",2040.81,2040.81,2005.33,2005.55,2005.55,6683070000.0
164,"Dec 17, 2015",2073.76,2076.37,2041.66,2041.89,2041.89,4327390000.0
165,"Dec 16, 2015",2046.5,2076.72,2042.43,2073.07,2073.07,4635450000.0
166,"Dec 15, 2015",2025.55,2053.87,2025.55,2043.41,2043.41,4353540000.0
167,"Dec 14, 2015",2013.37,2022.92,1993.26,2021.94,2021.94,4612440000.0
168,"Dec 11, 2015",2047.27,2047.27,2008.8,2012.37,2012.37,4301060000.0
169,"Dec 10, 2015",2047.93,2067.65,2045.67,2052.23,2052.23,3715150000.0
170,"Dec 09, 2015",2061.17,2080.33,2036.53,2047.62,2047.62,4385250000.0
171,"Dec 08, 2015",2073.39,2073.85,2052.32,2063.59,2063.59,4173570000.0
172,"Dec 07, 2015",2090.42,2090.42,2066.78,2077.07,2077.07,4043820000.0
173,"Dec 04, 2015",2051.24,2093.84,2051.24,2091.69,2091.69,4214910000.0
174,"Dec 03, 2015",2080.71,2085.0,2042.35,2049.62,2049.62,4306490000.0
175,"Dec 02, 2015",2101.71,2104.27,2077.11,2079.51,2079.51,3950640000.0
176,"Dec 01, 2015",2082.93,2103.37,2082.93,2102.63,2102.63,3712120000.0
177,"Nov 30, 2015",2090.95,2093.81,2080.41,2080.41,2080.41,4275030000.0
178,"Nov 27, 2015",2088.82,2093.29,2084.13,2090.11,2090.11,1466840000.0
179,"Nov 25, 2015",2089.3,2093.0,2086.3,2088.87,2088.87,2852940000.0
180,"Nov 24, 2015",2084.42,2094.12,2070.29,2089.14,2089.14,3884930000.0
181,"Nov 23, 2015",2089.41,2095.61,2081.39,2086.59,2086.59,3587980000.0
182,"Nov 20, 2015",2082.82,2097.06,2082.82,2089.17,2089.17,3929600000.0
183,"Nov 19, 2015",2083.7,2086.74,2078.76,2081.24,2081.24,3628110000.0
184,"Nov 18, 2015",2051.99,2085.31,2051.99,2083.58,2083.58,3926390000.0
185,"Nov 17, 2015",2053.67,2066.69,2045.9,2050.44,2050.44,4427350000.0
186,"Nov 16, 2015",2022.08,2053.22,2019.39,2053.19,2053.19,3741240000.0
187,"Nov 13, 2015",2044.64,2044.64,2022.02,2023.04,2023.04,4278750000.0
188,"Nov 12, 2015",2072.29,2072.29,2045.66,2045.97,2045.97,4016370000.0
189,"Nov 11, 2015",2083.41,2086.94,2074.85,2075.0,2075.0,3692410000.0
190,"Nov 10, 2015",2077.19,2083.67,2069.91,2081.72,2081.72,3821440000.0
191,"Nov 09, 2015",2096.56,2096.56,2068.24,2078.58,2078.58,3882350000.0
192,"Nov 06, 2015",2098.6,2101.91,2083.74,2099.2,2099.2,4369020000.0
193,"Nov 05, 2015",2101.68,2108.78,2090.41,2099.93,2099.93,4051890000.0
194,"Nov 04, 2015",2110.6,2114.59,2096.98,2102.31,2102.31,4078870000.0
195,"Nov 03, 2015",2102.63,2116.48,2097.51,2109.79,2109.79,4272060000.0
196,"Nov 02, 2015",2080.76,2106.2,2080.76,2104.05,2104.05,3760020000.0
197,"Oct 30, 2015",2090.0,2094.32,2079.34,2079.36,2079.36,4256200000.0
198,"Oct 29, 2015",2088.35,2092.52,2082.63,2089.41,2089.41,4008940000.0
199,"Oct 28, 2015",2066.48,2090.35,2063.11,2090.35,2090.35,4698110000.0
200,"Oct 27, 2015",2068.75,2070.37,2058.84,2065.89,2065.89,4216880000.0
201,"Oct 26, 2015",2075.08,2075.14,2066.53,2071.18,2071.18,3385800000.0
202,"Oct 23, 2015",2058.19,2079.74,2058.19,2075.15,2075.15,4108460000.0
203,"Oct 22, 2015",2021.88,2055.2,2021.88,2052.51,2052.51,4430850000.0
204,"Oct 21, 2015",2033.47,2037.97,2017.22,2018.94,2018.94,3627790000.0
205,"Oct 20, 2015",2033.13,2039.12,2026.61,2030.77,2030.77,3331500000.0
206,"Oct 19, 2015",2031.73,2034.45,2022.31,2033.66,2033.66,3287320000.0
207,"Oct 16, 2015",2024.37,2033.54,2020.46,2033.11,2033.11,3595430000.0
208,"Oct 15, 2015",1996.47,2024.15,1996.47,2023.86,2023.86,3746290000.0
209,"Oct 14, 2015",2003.66,2009.56,1990.73,1994.24,1994.24,3644590000.0
210,"Oct 13, 2015",2015.0,2022.34,2001.78,2003.69,2003.69,3401920000.0
211,"Oct 12, 2015",2015.65,2018.66,2010.55,2017.46,2017.46,2893250000.0
212,"Oct 09, 2015",2013.73,2020.13,2007.61,2014.89,2014.89,3706900000.0
213,"Oct 08, 2015",1994.01,2016.5,1987.53,2013.43,2013.43,3939140000.0
214,"Oct 07, 2015",1982.34,1999.31,1976.44,1995.83,1995.83,4666470000.0
215,"Oct 06, 2015",1986.63,1991.62,1971.99,1979.92,1979.92,4202400000.0
216,"Oct 05, 2015",1954.33,1989.17,1954.33,1987.05,1987.05,4334490000.0
217,"Oct 02, 2015",1921.77,1951.36,1893.7,1951.36,1951.36,4378570000.0
218,"Oct 01, 2015",1919.65,1927.21,1900.7,1923.82,1923.82,3983600000.0
219,"Sep 30, 2015",1887.14,1920.53,1887.14,1920.03,1920.03,4525070000.0
220,"Sep 29, 2015",1881.9,1899.48,1871.91,1884.09,1884.09,4132390000.0
221,"Sep 28, 2015",1929.18,1929.18,1879.21,1881.77,1881.77,4326660000.0
222,"Sep 25, 2015",1935.93,1952.89,1921.5,1931.34,1931.34,3721870000.0
223,"Sep 24, 2015",1934.81,1937.17,1908.92,1932.24,1932.24,4091530000.0
224,"Sep 23, 2015",1943.24,1949.52,1932.57,1938.76,1938.76,3190530000.0
225,"Sep 22, 2015",1961.39,1961.39,1929.22,1942.74,1942.74,3808260000.0
226,"Sep 21, 2015",1960.84,1979.64,1955.8,1966.97,1966.97,3269350000.0
227,"Sep 18, 2015",1989.66,1989.66,1953.45,1958.03,1958.03,6021240000.0
228,"Sep 17, 2015",1995.33,2020.86,1986.73,1990.2,1990.2,4183790000.0
229,"Sep 16, 2015",1978.02,1997.26,1977.93,1995.31,1995.31,3630680000.0
230,"Sep 15, 2015",1955.1,1983.19,1954.3,1978.09,1978.09,3239860000.0
231,"Sep 14, 2015",1963.06,1963.06,1948.27,1953.03,1953.03,3000200000.0
232,"Sep 11, 2015",1951.45,1961.05,1939.19,1961.05,1961.05,3218590000.0
233,"Sep 10, 2015",1941.59,1965.29,1937.19,1952.29,1952.29,3626320000.0
234,"Sep 09, 2015",1971.45,1988.63,1937.88,1942.04,1942.04,3652120000.0
235,"Sep 08, 2015",1927.3,1970.42,1927.3,1969.41,1969.41,3548650000.0
236,"Sep 04, 2015",1947.76,1947.76,1911.21,1921.22,1921.22,3167090000.0
237,"Sep 03, 2015",1950.79,1975.01,1944.72,1951.13,1951.13,3520700000.0
238,"Sep 02, 2015",1916.52,1948.91,1916.52,1948.86,1948.86,3742620000.0
239,"Sep 01, 2015",1970.09,1970.09,1903.07,1913.85,1913.85,4371850000.0
240,"Aug 31, 2015",1986.73,1986.73,1965.98,1972.18,1972.18,3915100000.0
241,"Aug 28, 2015",1986.06,1993.48,1975.19,1988.87,1988.87,3949080000.0
242,"Aug 27, 2015",1942.77,1989.6,1942.77,1987.66,1987.66,5006390000.0
243,"Aug 26, 2015",1872.75,1943.09,1872.75,1940.51,1940.51,5338250000.0
244,"Aug 25, 2015",1898.08,1948.04,1867.08,1867.61,1867.61,5183560000.0
245,"Aug 24, 2015",1965.15,1965.15,1867.01,1893.21,1893.21,6612690000.0
246,"Aug 21, 2015",2034.08,2034.08,1970.89,1970.89,1970.89,5018240000.0
247,"Aug 20, 2015",2076.61,2076.61,2035.73,2035.73,2035.73,3922470000.0
248,"Aug 19, 2015",2095.69,2096.17,2070.53,2079.61,2079.61,3512920000.0
249,"Aug 18, 2015",2101.99,2103.47,2094.14,2096.92,2096.92,2949990000.0
250,"Aug 17, 2015",2089.7,2102.87,2079.3,2102.44,2102.44,2867690000.0
251,"Aug 14, 2015",2083.15,2092.45,2080.61,2091.54,2091.54,2795590000.0
